Index       TIME              V(2)       
0        0.00000000e+00    1.73514100e+00
1        1.00000000e-10    1.73514306e+00
2        3.00000000e-10    1.73514718e+00
3        7.00000000e-10    1.73515542e+00
4        1.50000000e-09    1.73517190e+00
5        2.50000000e-09    1.73519250e+00
6        3.50000000e-09    1.73521310e+00
7        4.50000000e-09    1.73523369e+00
8        5.50000000e-09    1.73525429e+00
9        6.50000000e-09    1.73527488e+00
10       7.50000000e-09    1.73529547e+00
11       8.50000000e-09    1.73531606e+00
12       9.50000000e-09    1.73533664e+00
13       1.05000000e-08    1.73535722e+00
14       1.15000000e-08    1.73537780e+00
15       1.25000000e-08    1.73539838e+00
16       1.35000000e-08    1.73541896e+00
17       1.45000000e-08    1.73543953e+00
18       1.55000000e-08    1.73546011e+00
19       1.65000000e-08    1.73548068e+00
20       1.75000000e-08    1.73550125e+00
21       1.85000000e-08    1.73552181e+00
22       1.95000000e-08    1.73554238e+00
23       2.05000000e-08    1.73556294e+00
24       2.15000000e-08    1.73558350e+00
25       2.25000000e-08    1.73560406e+00
26       2.35000000e-08    1.73562461e+00
27       2.45000000e-08    1.73564517e+00
28       2.55000000e-08    1.73566572e+00
29       2.65000000e-08    1.73568627e+00
30       2.75000000e-08    1.73570682e+00
31       2.85000000e-08    1.73572736e+00
32       2.95000000e-08    1.73574791e+00
33       3.05000000e-08    1.73576845e+00
34       3.15000000e-08    1.73578899e+00
35       3.25000000e-08    1.73580953e+00
36       3.35000000e-08    1.73583006e+00
37       3.45000000e-08    1.73585060e+00
38       3.55000000e-08    1.73587113e+00
39       3.65000000e-08    1.73589166e+00
40       3.75000000e-08    1.73591218e+00
41       3.85000000e-08    1.73593271e+00
42       3.95000000e-08    1.73595323e+00
43       4.05000000e-08    1.73597375e+00
44       4.15000000e-08    1.73599427e+00
45       4.25000000e-08    1.73601479e+00
46       4.35000000e-08    1.73603531e+00
47       4.45000000e-08    1.73605582e+00
48       4.55000000e-08    1.73607633e+00
49       4.65000000e-08    1.73609684e+00
50       4.75000000e-08    1.73611735e+00
51       4.85000000e-08    1.73613785e+00
52       4.95000000e-08    1.73615835e+00
53       5.05000000e-08    1.73617885e+00
54       5.15000000e-08    1.73619935e+00
55       5.25000000e-08    1.73621985e+00
56       5.35000000e-08    1.73624034e+00
57       5.45000000e-08    1.73626084e+00
58       5.55000000e-08    1.73628133e+00
59       5.65000000e-08    1.73630182e+00
60       5.75000000e-08    1.73632230e+00
61       5.85000000e-08    1.73634279e+00
62       5.95000000e-08    1.73636327e+00
63       6.05000000e-08    1.73638375e+00
64       6.15000000e-08    1.73640423e+00
65       6.25000000e-08    1.73642470e+00
66       6.35000000e-08    1.73644518e+00
67       6.45000000e-08    1.73646565e+00
68       6.55000000e-08    1.73648612e+00
69       6.65000000e-08    1.73650659e+00
70       6.75000000e-08    1.73652705e+00
71       6.85000000e-08    1.73654752e+00
72       6.95000000e-08    1.73656798e+00
73       7.05000000e-08    1.73658844e+00
74       7.15000000e-08    1.73660890e+00
75       7.25000000e-08    1.73662935e+00
76       7.35000000e-08    1.73664981e+00
77       7.45000000e-08    1.73667026e+00
78       7.55000000e-08    1.73669071e+00
79       7.65000000e-08    1.73671115e+00
80       7.75000000e-08    1.73673160e+00
81       7.85000000e-08    1.73675204e+00
82       7.95000000e-08    1.73677248e+00
83       8.05000000e-08    1.73679292e+00
84       8.15000000e-08    1.73681336e+00
85       8.25000000e-08    1.73683380e+00
86       8.35000000e-08    1.73685423e+00
87       8.45000000e-08    1.73687466e+00
88       8.55000000e-08    1.73689509e+00
89       8.65000000e-08    1.73691552e+00
90       8.75000000e-08    1.73693594e+00
91       8.85000000e-08    1.73695636e+00
92       8.95000000e-08    1.73697679e+00
93       9.05000000e-08    1.73699720e+00
94       9.15000000e-08    1.73701762e+00
95       9.25000000e-08    1.73703804e+00
96       9.35000000e-08    1.73705845e+00
97       9.45000000e-08    1.73707886e+00
98       9.55000000e-08    1.73709927e+00
99       9.65000000e-08    1.73711968e+00
100      9.75000000e-08    1.73714008e+00
101      9.85000000e-08    1.73716048e+00
102      9.95000000e-08    1.73718088e+00
103      1.00500000e-07    1.73720128e+00
104      1.01500000e-07    1.73722168e+00
105      1.02500000e-07    1.73724207e+00
106      1.03500000e-07    1.73726246e+00
107      1.04500000e-07    1.73728286e+00
108      1.05500000e-07    1.73730324e+00
109      1.06500000e-07    1.73732363e+00
110      1.07500000e-07    1.73734401e+00
111      1.08500000e-07    1.73736440e+00
112      1.09500000e-07    1.73738478e+00
113      1.10500000e-07    1.73740515e+00
114      1.11500000e-07    1.73742553e+00
115      1.12500000e-07    1.73744590e+00
116      1.13500000e-07    1.73746628e+00
117      1.14500000e-07    1.73748665e+00
118      1.15500000e-07    1.73750701e+00
119      1.16500000e-07    1.73752738e+00
120      1.17500000e-07    1.73754774e+00
121      1.18500000e-07    1.73756811e+00
122      1.19500000e-07    1.73758847e+00
123      1.20500000e-07    1.73760882e+00
124      1.21500000e-07    1.73762918e+00
125      1.22500000e-07    1.73764953e+00
126      1.23500000e-07    1.73766988e+00
127      1.24500000e-07    1.73769023e+00
128      1.25500000e-07    1.73771058e+00
129      1.26500000e-07    1.73773093e+00
130      1.27500000e-07    1.73775127e+00
131      1.28500000e-07    1.73777161e+00
132      1.29500000e-07    1.73779195e+00
133      1.30500000e-07    1.73781229e+00
134      1.31500000e-07    1.73783262e+00
135      1.32500000e-07    1.73785296e+00
136      1.33500000e-07    1.73787329e+00
137      1.34500000e-07    1.73789362e+00
138      1.35500000e-07    1.73791395e+00
139      1.36500000e-07    1.73793427e+00
140      1.37500000e-07    1.73795459e+00
141      1.38500000e-07    1.73797491e+00
142      1.39500000e-07    1.73799523e+00
143      1.40500000e-07    1.73801555e+00
144      1.41500000e-07    1.73803587e+00
145      1.42500000e-07    1.73805618e+00
146      1.43500000e-07    1.73807649e+00
147      1.44500000e-07    1.73809680e+00
148      1.45500000e-07    1.73811711e+00
149      1.46500000e-07    1.73813741e+00
